,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
0,Hilo,US,19.7297,-155.09,73.13,83,100,1.99,overcast clouds
1,Lagoa,PT,39.05,-27.9833,59.74,75,51,30.11,broken clouds
2,Namatanai,PG,-3.6667,152.4333,79.23,82,92,3.22,light rain
3,Hirara,JP,24.8,125.2833,73.11,76,100,21.88,overcast clouds
4,Busselton,AU,-33.65,115.3333,53.42,92,1,7.83,clear sky
5,Abha,SA,18.2164,42.5053,57.45,77,0,0,clear sky
6,Albany,US,42.6001,-73.9662,38.28,49,16,5.01,few clouds
7,Kapaa,US,22.0752,-159.319,70.12,88,75,3.44,broken clouds
8,Mataura,NZ,-46.1927,168.8643,50.49,94,75,5.01,broken clouds
9,Ilulissat,GL,69.2167,-51.1,17.62,73,75,19.57,light snow
10,Butaritari,KI,3.0707,172.7902,80.13,81,27,12.46,scattered clouds
11,Katsuura,JP,35.1333,140.3,52.79,84,95,10.8,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,84,8.01,broken clouds
13,Sheltozero,RU,61.3667,35.3667,19.92,77,100,3.71,overcast clouds
14,Rio Bravo,MX,25.9833,-98.1,58.93,70,100,8.66,light rain
15,Rikitea,PF,-23.1203,-134.9692,74.08,73,77,10.92,broken clouds
16,Karangasem,ID,-8.45,115.6167,76.24,80,100,6.89,overcast clouds
17,Kichera,RU,55.9375,110.0997,-14.82,85,62,6.15,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,73.27,69,95,3,overcast clouds
19,Ocos,GT,14.5094,-92.1933,86.18,70,39,3.6,scattered clouds
20,Severo-Kurilsk,RU,50.6789,156.125,26.02,71,85,15.3,light snow
21,Dingle,PH,10.9995,122.6711,76.01,94,99,7,overcast clouds
22,Komsomolskiy,UZ,40.4272,71.7189,41.72,75,100,0,overcast clouds
23,Floro,NO,61.5996,5.0328,40.96,70,0,13.8,clear sky
24,Hamilton,US,39.1834,-84.5333,36.59,56,0,4.61,clear sky
25,Jamestown,US,42.097,-79.2353,29.84,89,100,13.8,overcast clouds
26,Richards Bay,ZA,-28.783,32.0377,72.79,75,10,15.73,clear sky
27,Pimentel,PE,-6.8367,-79.9342,79.09,57,40,6.91,scattered clouds
28,Kodiak,US,57.79,-152.4072,38.71,52,0,36.82,clear sky
29,Torbay,CA,47.6666,-52.7314,42.39,87,95,5.99,overcast clouds
30,Bluff,NZ,-46.6,168.3333,50.81,71,57,19.55,broken clouds
31,Aklavik,CA,68.2191,-135.0107,2.88,96,100,6.96,overcast clouds
32,East London,ZA,-33.0153,27.9116,74.07,85,16,5.19,few clouds
33,Hualmay,PE,-11.0964,-77.6139,72.75,71,8,10.45,clear sky
34,Malanje,AO,-9.5402,16.341,68.49,89,86,3.8,light rain
35,Qaanaaq,GL,77.484,-69.3632,-26.52,83,8,6.67,clear sky
36,Sitka,US,57.0531,-135.33,33.69,80,100,12.66,light snow
37,Nikolskoye,RU,59.7035,30.7861,19.8,86,100,2.93,overcast clouds
38,Atuona,PF,-9.8,-139.0333,77.61,78,23,19.48,light rain
39,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,40,27.63,scattered clouds
40,Karratha,AU,-20.7377,116.8463,81.86,56,0,12.71,clear sky
41,Altamira,BR,-3.2033,-52.2064,86.76,63,95,2.39,overcast clouds
